benchmark,pcubes,dist,len,time
newcond,20,20,152,0.47
sym10,92,92,888,21.6
b4,95,65,793,0.3
5xp1,46,46,253,0.06
dk27,12,11,108,0.01
rd84,67,67,541,0.73
ts10,128,128,896,0.05
bcd,280,187,4234,6.53
p82,36,33,160,0.01
exps,373,330,2797,2.14
test1,158,158,1268,0.32
p1,79,69,598,0.15
newtpla2,15,15,97,0.01
clip,73,70,532,0.98
b9,114,114,994,2.87
tial,526,526,6353,201.72
dc1,19,16,61,0
Z9sym,59,59,502,3.31
in2,156,134,1536,3.73
f51m,45,45,253,0.84
max46,25,25,233,0.12
t4,35,29,290,0.09
newtag,6,6,27,0.01
gary,158,131,1437,2.62
p3,59,52,434,0.13
mytest,1,1,2,0
sqn,25,25,158,0.09
newapla2,7,7,42,0
rd53,16,16,74,0.01
duke2,176,120,1629,1.13
m2,84,77,537,0.56
clpl,20,20,90,0.02
ryy6,112,112,1128,27.07
life,24,24,206,0.24
ex5,319,293,1605,10.62
alcom,44,43,189,0.01
br1,34,31,388,0.1
dk17,27,27,264,0.02
exam,152,147,1509,1.5
bcd.div3,7,7,29,0
in0,160,128,1459,2.69
newtpla,20,20,170,0.06
dc2,33,33,191,0.03
soar,453,401,3788,10.85
br2,29,18,307,0.08
alu3,64,63,362,0.18
mark1,50,33,762,0.21
t1,140,121,766,0.73
alu1,19,19,49,0
test4,568,551,4565,1.41
b2,563,269,5275,21.36
misex3c,291,283,2704,91.68
bca,445,301,6777,10.84
bcb,376,247,5625,8.21
alu2,51,51,306,0.07
inc,43,43,220,0.02
sex,35,31,136,0.01
risc,46,36,210,0.01
dekoder,21,15,69,0
prom2,688,682,5942,9.46
m1,34,30,153,0.03
squar5,22,22,86,0.01
apla,51,50,492,0.11
o64,RAN OUT OF MEMORY,,,
t2,55,54,382,0.1
exp,80,73,607,0.14
tms,80,62,512,0.15
mlp4,99,99,690,0.66
e64,65,65,2145,1.54
newcpla1,55,54,316,0.03
Z5xp1,47,47,240,0.19
sao2,58,58,513,0.71
test2,2557,2543,29749,47.83
max512,128,127,988,4.6
rd73,50,50,347,0.21
bw,83,64,335,0.02
in7,77,66,670,0.78
ex7,114,114,994,2.8
vg2,125,125,1376,8.19
ibm,298,298,2438,4.36
max1024,223,223,2062,23.52
9sym,67,67,584,4.54
newxcpla1,68,62,326,0.04
apex4,659,639,5948,10.83
newcwp,9,9,25,0
pdc,299,267,3746,210.54
z4,28,28,157,0.13
addm4,141,141,1120,3.38
newcpla2,35,22,179,0.02
dist,100,97,724,1.09
in6,96,65,803,0.27
newill,6,6,40,0.01
bc0,427,347,3937,40.18
apex3,479,408,4209,12.97
xor5,4,4,20,0
x6dn,182,138,1884,7.63
l8err,72,72,506,0.73
sqr6,40,40,185,0.04
m4,166,154,1034,2.97
bench,24,24,149,0.01
m181,49,47,218,0.05
intb,468,468,5793,179.69
in1,563,269,5275,20.77
adr4,36,36,218,0.55
m3,100,92,666,0.88
spla,307,274,3753,259.7
rckl,97,95,1863,23.23
b12,49,47,217,0.05
fout,77,73,436,0.05
b7,45,35,205,0.01
in3,221,131,1820,1.79
add6,42,42,279,20.33
t3,30,30,213,0.11
pope.rom,245,225,1111,0.47
in4,372,309,4488,68.01
bcc,383,257,5835,8.89
t481,TIME EXPIRED,,,
luc,126,68,635,0.09
newtpla1,4,4,34,0
newapla1,11,11,80,0.01
con1,9,9,30,0
misj,48,43,206,0.04
test3,1409,1396,14609,11.42
log8mod,40,39,203,0.03
misex1,26,20,110,0
vtx1,116,116,1501,5.93
newbyte,8,8,40,0
b10,144,116,1307,2.37
shift,105,102,405,0.02
dk48,26,26,388,0.04
bench1,181,180,1663,0.56
max128,141,134,746,0.82
cordic,113,113,2191,200.17
signet,TIME EXPIRED,,,
ex1010,518,517,5392,4.93
misex3,716,692,8160,189.91
table3,362,285,4382,11.11
wim,20,17,66,0
table5,382,252,4776,22.59
co14,7,7,98,0.02
x9dn,128,128,1719,6.63
in5,194,154,2012,3.03
lin.rom,328,314,1987,1.44
chkn,132,132,1976,163.36
b3,361,303,4339,67.39
newapla,28,25,162,0.03
radd,20,20,101,0.11
x1dn,116,116,1501,6.02
mp2d,70,65,381,0.2
b11,45,35,205,0.01
alu4,526,526,6468,232.21
misex2,29,29,193,0.01
prom1,1554,1517,13491,48.74
root,48,45,326,0.73
