benchmark,pcubes,dist,len,time
newcond,25,25,166,0.37
sym10,72,72,445,25.67
b4,91,69,709,13.25
5xp1,53,51,230,0.13
dk27,12,11,108,0.01
rd84,69,69,452,0.84
ts10,128,128,896,0.05
bcd,297,183,4410,5.89
p82,37,34,155,0.01
exps,404,337,2784,2.83
test1,157,157,1255,0.32
p1,91,83,646,0.16
newtpla2,15,15,76,0.04
clip,116,114,640,1.07
b9,72,72,437,0.78
tial,552,550,4220,300.66
dc1,21,15,59,0
Z9sym,53,53,318,2.42
in2,160,145,1389,28.98
f51m,53,53,257,0.5
max46,25,25,226,0.09
t4,38,34,302,0.06
newtag,8,8,20,0
gary,175,149,1458,22.98
p3,66,61,453,0.09
mytest,1,1,2,0
sqn,35,35,193,0.08
newapla2,7,7,42,0
rd53,19,19,82,0.01
duke2,174,125,1507,1.7
m2,94,86,535,0.37
clpl,20,20,68,0.06
ryy6,112,112,624,1.96
life,24,24,194,0.24
ex5,320,282,1342,9.48
alcom,44,43,181,0
br1,34,29,385,0.1
dk17,27,27,262,0.02
exam,160,155,1553,1.28
bcd.div3,7,7,29,0
in0,165,147,1434,22.49
newtpla,21,21,161,0.03
dc2,34,34,188,0.03
soar,473,425,3001,344.61
br2,30,22,312,0.06
alu3,68,67,298,0.12
mark1,50,35,750,11.97
t1,131,104,571,3.13
alu1,19,19,41,0.01
test4,582,566,4605,1.5
b2,578,264,5016,194.42
misex3c,215,202,1418,134.83
bca,473,319,7114,8.14
bcb,393,264,5867,6.16
alu2,50,50,253,0.08
inc,46,45,212,0.02
sex,35,25,111,0.01
risc,46,35,199,0.01
dekoder,23,14,73,0
prom2,738,730,5870,10.43
m1,34,30,131,0.02
squar5,22,22,78,0.01
apla,52,51,488,0.09
o64,RAN OUT OF MEMORY,,,
t2,57,54,358,0.3
exp,84,76,602,0.11
tms,89,69,482,0.37
mlp4,112,112,692,0.64
e64,65,65,2145,1.52
newcpla1,55,50,242,0.13
Z5xp1,54,54,243,0.21
sao2,61,61,358,1.36
test2,2576,2562,29873,52.34
max512,144,142,970,4.62
rd73,72,72,391,0.11
bw,96,66,337,0.01
in7,84,70,595,49.6
ex7,72,72,437,0.76
vg2,110,110,806,17.53
ibm,159,159,822,238.02
max1024,254,252,2037,22.94
9sym,57,57,346,0.69
newxcpla1,70,61,282,0.2
apex4,722,686,6049,9.79
newcwp,9,9,24,0
pdc,309,288,3584,102.2
z4,32,32,161,0.11
addm4,161,161,1150,3.07
newcpla2,39,25,174,0.02
dist,116,115,745,0.92
in6,92,69,719,13.14
newill,6,6,31,0.02
bc0,413,361,3351,1769.56
apex3,524,496,4080,189.17
xor5,4,4,20,0
x6dn,157,122,1256,517.83
l8err,79,78,489,0.84
sqr6,44,44,184,0.04
m4,185,174,1041,3.06
bench,24,23,148,0.01
m181,60,56,188,0.28
intb,569,569,4696,375.85
in1,578,264,5016,195.28
adr4,48,48,260,0.64
m3,106,101,643,0.59
spla,292,271,3291,117.38
rckl,97,96,1222,41.34
b12,61,57,190,0.27
fout,79,78,440,0.05
b7,45,34,194,0.01
in3,208,144,1393,264.29
add6,191,191,1218,80.98
t3,32,32,209,0.1
pope.rom,244,211,950,0.48
in4,TIME EXPIRED,,,
bcc,422,257,6358,7.58
t481,481,481,4860,1442.36
luc,137,68,607,0.15
newtpla1,4,4,33,0
newapla1,11,11,70,0
con1,9,9,23,0
misj,48,35,77,0.03
test3,1424,1412,14717,11.42
log8mod,41,40,188,0.04
misex1,27,19,104,0.01
vtx1,110,110,966,20.85
newbyte,8,8,40,0
b10,149,133,1282,21.65
shift,105,101,401,0.04
dk48,26,26,388,0.05
bench1,181,180,1663,0.52
max128,152,140,720,0.66
cordic,61,61,451,584.06
signet,TIME EXPIRED,,,
ex1010,519,517,5384,5.61
misex3,801,768,7766,447.12
table3,388,298,4516,11.5
wim,22,15,66,0
table5,406,263,4867,94.86
co14,7,7,98,0.04
x9dn,120,120,1140,21.29
in5,171,94,1499,19.42
lin.rom,357,335,1915,1.31
chkn,TIME EXPIRED,,,
b3,TIME EXPIRED,,,
newapla,27,24,116,0.3
radd,44,44,200,0.18
x1dn,110,110,966,21.96
mp2d,67,54,293,1.83
b11,45,34,194,0.01
alu4,725,721,5543,491.06
misex2,29,29,188,0
prom1,1618,1548,12339,48.96
root,58,58,361,0.92
