benchmark,pcubes,dist,len,time
newcond,25,25,166,0.07
sym10,90,90,713,6.58
b4,91,68,702,0.1
5xp1,53,51,228,0.02
dk27,12,11,108,0
rd84,70,70,491,0.46
ts10,128,128,896,0.05
bcd,299,188,4460,3.09
p82,37,34,157,0.01
exps,418,354,2947,1.13
test1,157,157,1255,0.24
p1,91,83,656,0.09
newtpla2,15,14,82,0
clip,117,116,606,0.26
b9,72,72,437,0.4
tial,569,565,4269,24.28
dc1,21,15,59,0
Z9sym,57,57,398,1.39
in2,160,136,1361,1.06
f51m,53,53,268,0.73
max46,25,25,226,0.06
t4,39,35,316,0.06
newtag,8,8,18,0
gary,183,144,1456,0.58
p3,66,61,460,0.07
mytest,1,1,2,0
sqn,36,36,204,0.05
newapla2,7,7,42,0
rd53,19,19,82,0
duke2,176,123,1535,0.38
m2,103,94,617,0.44
clpl,20,20,55,0
ryy6,112,112,624,2.2
life,24,24,199,0.2
ex5,426,353,1851,9.61
alcom,44,44,182,0
br1,34,29,386,0.07
dk17,27,27,262,0.02
exam,165,160,1616,0.79
bcd.div3,7,7,29,0
in0,176,147,1538,0.97
newtpla,21,21,161,0.02
dc2,34,34,190,0.02
soar,477,422,3012,2.35
br2,30,22,313,0.06
alu3,68,68,284,0.08
mark1,50,34,751,0.11
t1,148,121,711,0.66
alu1,19,19,41,0
test4,582,566,4607,1.06
b2,605,236,5062,4.88
misex3c,216,199,1414,9.98
bca,481,322,7259,5.52
bcb,394,269,5903,4.48
alu2,50,50,246,0.04
inc,46,44,218,0.02
sex,35,25,111,0
risc,46,35,199,0.01
dekoder,23,13,75,0
prom2,761,744,6185,5.3
m1,34,30,135,0.03
squar5,23,23,83,0.01
apla,53,51,500,0.06
o64,RAN OUT OF MEMORY,,,
t2,58,55,373,0.06
exp,84,76,607,0.08
tms,93,74,544,0.1
mlp4,117,117,755,0.45
e64,65,65,2145,1.5
newcpla1,55,44,257,0.01
Z5xp1,55,55,256,0.19
sao2,61,53,367,0.17
test2,2576,2562,29875,35.06
max512,160,159,1113,3.44
rd73,72,72,391,0.11
bw,96,66,333,0.01
in7,95,77,609,0.31
ex7,72,72,437,0.42
vg2,110,110,804,1.29
ibm,159,159,817,0.36
max1024,293,289,2406,15.63
9sym,57,57,346,0.45
newxcpla1,72,57,261,0.02
apex4,726,681,6149,4.13
newcwp,9,9,24,0
pdc,475,446,5974,198.11
z4,38,38,202,0.13
addm4,167,167,1239,2.27
newcpla2,39,22,171,0.01
dist,124,123,816,0.62
in6,92,68,712,0.1
newill,6,6,31,0
bc0,502,393,4116,23.09
apex3,536,474,4322,4.52
xor5,4,4,20,0
x6dn,182,126,1512,1.34
l8err,92,92,593,0.57
sqr6,48,47,210,0.04
m4,216,204,1256,2.58
bench,24,23,148,0.01
m181,62,57,189,0.02
intb,576,576,4718,30.41
in1,605,236,5062,5.13
adr4,52,52,296,0.5
m3,111,107,683,0.78
spla,427,405,5154,263.47
rckl,97,96,1143,1.24
b12,63,58,191,0.02
fout,79,77,441,0.04
b7,45,34,194,0.01
in3,211,145,1474,0.41
add6,306,306,2108,18.92
t3,32,32,218,0.09
pope.rom,265,221,1056,0.39
in4,347,292,3652,9.67
bcc,425,265,6436,4.25
t481,481,481,4752,154.99
luc,136,66,631,0.06
newtpla1,4,4,33,0
newapla1,11,11,70,0
con1,9,9,23,0
misj,48,35,77,0
test3,1424,1412,14718,8.13
log8mod,41,40,195,0.02
misex1,27,19,104,0
vtx1,110,110,964,1.22
newbyte,8,8,40,0
b10,160,133,1389,0.87
shift,105,101,400,0.01
dk48,26,26,388,0.03
bench1,181,180,1663,0.37
max128,165,152,801,0.76
cordic,61,61,408,185.73
signet,143,124,577,58.29
ex1010,519,517,5386,4.05
misex3,852,808,8189,40.83
table3,389,293,4541,3.01
wim,22,16,69,0
table5,417,252,4927,4.49
co14,7,7,98,0.02
x9dn,120,120,1138,1.46
in5,172,90,1528,0.78
lin.rom,369,343,2021,1.07
chkn,135,135,1551,10.49
b3,336,284,3513,9.17
newapla,27,22,118,0.01
radd,46,46,212,0.09
x1dn,110,110,964,1.24
mp2d,70,52,278,0.13
b11,45,34,194,0.01
alu4,751,744,5607,44.65
misex2,29,29,188,0
prom1,1742,1660,13844,24.58
root,66,63,417,0.63
