benchmark,pcubes,dist,len,time
newcond,19,19,146,0.37
sym10,94,94,930,68.14
b4,95,67,796,0.32
5xp1,46,46,250,0.05
dk27,12,11,108,0
rd84,66,66,521,2.1
ts10,128,128,896,0.16
bcd,283,182,4268,16.35
p82,37,33,167,0.01
exps,368,321,2776,2.78
test1,157,157,1264,0.87
p1,79,72,600,0.17
newtpla2,15,9,97,0.01
clip,75,69,592,1.94
b9,114,114,994,9.08
tial,548,547,6899,1175.15
dc1,20,16,64,0
Z9sym,60,60,518,14.65
in2,155,135,1533,7.98
f51m,49,49,261,0.47
max46,26,26,239,0.45
t4,35,28,290,0.07
newtag,6,6,27,0.01
gary,159,125,1459,4.46
p3,59,55,436,0.12
mytest,1,1,2,0
sqn,28,28,173,0.09
newapla2,7,7,42,0
rd53,16,16,74,0.01
duke2,176,106,1626,1.77
m2,85,76,555,0.41
clpl,20,20,90,0.01
ryy6,112,112,1128,106.52
life,24,24,204,0.5
ex5,307,278,1538,5.23
alcom,44,44,191,0
br1,34,30,393,0.12
dk17,27,27,264,0.02
exam,149,145,1492,2.92
bcd.div3,7,7,29,0
in0,159,128,1452,3.8
newtpla,20,20,166,0.08
dc2,33,33,192,0.03
soar,460,422,3845,27.63
br2,29,21,309,0.07
alu3,64,64,362,0.62
mark1,50,34,762,0.28
t1,140,118,784,0.39
alu1,19,19,49,0
test4,564,549,4546,4.6
b2,569,228,5337,51.97
misex3c,300,293,2849,778.61
bca,440,301,6751,25.77
bcb,369,258,5610,21.12
alu2,56,56,347,0.17
inc,44,43,226,0.03
sex,34,28,130,0.01
risc,46,34,210,0.01
dekoder,21,15,74,0
prom2,669,664,5879,32.38
m1,33,29,148,0.02
squar5,22,22,86,0.01
apla,49,48,470,0.1
o64,RAN OUT OF MEMORY,,,
t2,56,52,396,0.08
exp,81,74,610,0.18
tms,81,61,533,0.14
mlp4,97,97,669,1.19
e64,65,65,2145,1.59
newcpla1,55,45,316,0.03
Z5xp1,47,47,240,0.12
sao2,56,56,521,1.43
test2,2543,2531,29717,549.59
max512,121,120,963,7.58
rd73,48,48,334,0.38
bw,83,66,339,0.04
in7,77,65,670,0.98
ex7,114,114,994,9.06
vg2,117,117,1333,28.59
ibm,301,301,2474,11.15
max1024,205,204,1989,51.79
9sym,66,66,579,14.98
newxcpla1,69,57,329,0.04
apex4,653,634,5954,50.34
newcwp,9,9,26,0
pdc,300,257,3777,103.95
z4,27,27,151,0.13
addm4,136,136,1070,5.22
newcpla2,35,19,180,0.02
dist,94,93,703,1.6
in6,96,68,806,0.3
newill,6,6,41,0.01
bc0,425,324,3941,74.88
apex3,474,398,4214,43.67
xor5,4,4,20,0
x6dn,183,137,1893,17.61
l8err,69,69,472,0.99
sqr6,39,39,177,0.03
m4,166,156,1063,2.29
bench,24,24,149,0.01
m181,51,49,235,0.11
intb,468,468,5941,1204.21
in1,569,228,5337,52.06
adr4,28,28,162,0.35
m3,99,90,654,0.62
spla,308,274,3762,110.28
rckl,97,33,1863,23.24
b12,49,47,225,0.11
fout,78,76,455,0.08
b7,45,33,205,0.01
in3,223,119,1844,2.56
add6,42,42,279,15.73
t3,30,30,215,0.08
pope.rom,242,218,1107,0.39
in4,376,314,4549,365.41
bcc,384,246,5864,20.26
t481,TIME EXPIRED,,,
luc,126,57,640,0.11
newtpla1,4,4,34,0
newapla1,11,11,80,0.01
con1,9,9,31,0
misj,48,47,206,0.04
test3,1407,1396,14649,74.96
log8mod,39,36,198,0.05
misex1,26,19,110,0.01
vtx1,117,117,1527,24.42
newbyte,8,8,40,0
b10,143,116,1300,3.5
shift,105,103,405,0.04
dk48,26,26,388,0.05
bench1,181,180,1664,2.05
max128,142,136,768,0.61
cordic,128,128,2519,127.68
signet,TIME EXPIRED,,,
ex1010,514,513,5395,46.55
misex3,745,733,8693,1209.92
table3,360,273,4359,30.16
wim,20,15,67,0
table5,381,234,4778,47.73
co14,7,7,98,0.06
x9dn,129,129,1747,28.13
in5,192,137,1981,6.02
lin.rom,323,306,1942,1.71
chkn,136,136,2075,470.5
b3,365,309,4400,376.04
newapla,28,24,162,0.04
radd,20,20,101,0.09
x1dn,117,117,1527,26.1
mp2d,73,66,405,0.13
b11,45,33,205,0.01
alu4,519,518,6700,1183.35
misex2,29,29,193,0.01
prom1,1546,1508,13628,159.17
root,46,44,311,0.6
